[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:8193 | UID=CFbUF83KjcXfNFh1i1 | ATTACK=portscan | CONF=0.9540
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:10002 | UID=CpPQns2VUSWFtUZmP | ATTACK=hostsweep | CONF=0.9210
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1062 | UID=Cqe9rE4NuspmuELILg | ATTACK=hostsweep | CONF=0.6997
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1039 | UID=CNrGhIcjbEQn8NzPj | ATTACK=portscan | CONF=0.9541
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1032 | UID=CaIqAz11UEX8woDwr | ATTACK=hostsweep | CONF=0.5280
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:900 | UID=CeHzAb4P2NZnRllS99 | ATTACK=portscan | CONF=0.9528
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:2020 | UID=CCToKJ1fyhwPG4LZSj | ATTACK=portscan | CONF=0.9940
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:8002 | UID=C8aUBn0kRkmW0m5ug | ATTACK=hostsweep | CONF=0.8394
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3369 | UID=CjKwtXkBsjm80qJFd | ATTACK=portscan | CONF=0.9940
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:5003 | UID=CC0fUo2UEfVUZohQDa | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:464 | UID=Co7SfE3vUlgPGmkIg3 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3300 | UID=CHgQlv4Mnf4RTWrsQh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1058 | UID=C1SzVD14l3SyYBXAfc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3998 | UID=CP5ZWMQP8GFxBxkd9 | ATTACK=portscan | CONF=0.9971
